5	1/5000
6	1/5000
7	1/5000
8	1/5000
9	1/5000
10	1/5000
11	1/5000
12	1/5000
13	1/5000
14	1/5000
15	1/5000
16	1/5000
17	1/5000
18	1/5000
19	1/5000
20	1/5000
21	1/5000
22	1/5000
23	1/5000
24	1/5000
25	1/5000
26	1/5000
27	1/5000
28	1/5000
29	1/5000
30	1/5000
31	1/5000
32	1/5000
33	1/5000
34	1/5000
35	1/5000
36	1/5000
37	1/5000
38	1/5000
39	1/5000
40	1/5000
41	1/5000
42	1/5000
43	1/5000
44	1/5000
45	1/5000
46	1/5000
47	1/5000
48	1/5000
49	1/5000
50	1/5000
51	1/5000
52	1/5000
53	1/5000
54	1/5000
55	1/5000
56	1/5000
57	1/5000
58	1/5000
59	1/5000
60	1/5000
61	1/5000
62	1/5000
63	1/5000
64	1/5000
65	1/5000
66	1/5000
67	1/5000
68	1/5000
69	1/5000
70	1/5000
71	1/5000
72	1/5000
73	1/5000
74	1/5000
75	1/5000
76	1/5000
77	1/5000
78	1/5000
79	1/5000
80	1/5000
81	1/5000
82	1/5000
83	1/5000
84	1/5000
85	1/5000
86	1/5000
87	1/5000
88	1/5000
89	1/5000
90	1/5000
91	1/5000
92	1/5000
93	1/5000
94	1/5000
95	1/5000
96	1/5000
97	1/5000
98	1/5000
99	1/5000
100	1/5000
101	1/5000
102	1/5000
103	1/5000
104	1/5000
105	1/5000
106	1/5000
107	1/5000
108	1/5000
109	1/5000
110	1/5000
111	1/5000
112	1/5000
113	1/5000
114	1/5000
115	1/5000
116	1/5000
117	1/5000
118	1/5000
119	1/5000
120	1/5000
121	1/5000
122	1/5000
123	1/5000
124	1/5000
125	1/5000
126	1/5000
127	1/5000
128	1/5000
129	1/5000
130	1/5000
131	1/5000
132	1/5000
133	1/5000
134	1/5000
135	1/5000
136	1/5000
137	1/5000
138	1/5000
139	1/5000
140	1/5000
141	1/5000
142	1/5000
143	1/5000
144	1/5000
145	1/5000
146	1/5000
147	1/5000
148	1/5000
149	1/5000
150	1/5000
151	1/5000
152	1/5000
153	1/5000
154	1/5000
155	1/5000
156	1/5000
157	1/5000
158	1/5000
159	1/5000
160	1/5000
161	1/5000
162	1/5000
163	1/5000
164	1/5000
165	1/5000
166	1/5000
167	1/5000
168	1/5000
169	1/5000
170	1/5000
171	1/5000
172	1/5000
173	1/5000
174	1/5000
175	1/5000
176	1/5000
177	1/5000
178	1/5000
179	1/5000
180	1/5000
181	1/5000
182	1/5000
183	1/5000
184	1/5000
185	1/5000
186	1/5000
187	1/5000
188	1/5000
189	1/5000
190	1/5000
191	1/5000
192	1/5000
193	1/5000
194	1/5000
195	1/5000
196	1/5000
197	1/5000
198	1/5000
199	1/5000
200	1/5000
201	1/5000
202	1/5000
203	1/5000
204	1/5000
205	1/5000
206	1/5000
207	1/5000
208	1/5000
209	1/5000
210	1/5000
211	1/5000
212	1/5000
213	1/5000
214	1/5000
215	1/5000
